Bsoft;
Bubble Bus;
Bubblesoft;
Bubu;
Buchwald, Dirk;
Buck;
Bucket, R.;
Bucsoft;
Budder;
Budgie Budget;
Buening, Christor;
Buffer Micro;
Bugbear Games;
Bug-Byte;
Bug-Byte Premier;
bugfix;
Bugler, Ted;
Bugsy;
Buivenga, F.;
Bulba, Sergey;
Bullar;
Bulldog;
Bullough, Jason;
Bullough, Paul;
Buntasoft;
Bureau of Information Science;
Burenko, Vladimir;
Burga's Adventure;
Burke, Damien;
Burnard, Keith;
Burnham, Andrew;
Burtenshaw, Graham;
Burton, Keith;
Busse, Thomas;
Busy;
Busy Bee;
Busy Soft;
Busysoft;
Butcher, W.;
Butronics Company, The;
Buttercraft;
Butterfly;
Buzzsoft;
Byrne, Anthony;
Byron;
Bystrov, Evgeny;
Byte Back;
Byte One;
Byte Power;
Bytesize;
Byteware;
Bytewell;
Bytex;
C&C;
C&VG;
C.P.S. Games;
C.Servis Games;
Cable;
Cabron, Joe;
Cabsoft;
Cachondeo Shefwer;
Cadsoft;
Cain, J.;
Calac;
Calculex;
Caldentey, Paulina Angel;
Calisto;
Callard, Gavin;
Calpac Computer;
Calpac Educational;
Calsson, Anders;
Calzada, Gabriel Rodriguez;
Camacho, Salvador;
Cambic;
Cambridge Computing Research;
Cambridge Microcomputer Centre;
Camden Council;
Camel Micros;
Camel Products;
Cames, Francisco Javier;
Cammell, Kit;
Campbell Systems;
Campion;
Canaan;
Canadul;
Cannibal Corpse;
Cannon, Daniel;
Cantero, Salvador;
Cantrell, Mark;
Caoba;
Caple, Andrew;
Capry;
Capsoft;
Cardex;
Caris;
Carley Bros;
Carlos;
Carlsson, Anders;
Carnell;
Caro;
Caro, Oscar Amat;
Carol & Paul Bradbury;
Carr, Graham;
Carrasco, Javier Ortiz;
Carrier, Matthew;
Carrier, Matthew 'MatGubbins';
Carrium;
Carter, S.;
Carter, Stu;
Cartoon Time;
Caruso, Fabrizio;
Casarrubios, Jose Antonio;
Cascade Games;
Cascaismicro;
Cascaval, Marian;
Cassell;
Cassiopeia;
Castares, Guillermo;
Castillo, Francisco Bretones;
Castillo, Manuel Sanchez;
Castle;
Castor Cracking Group;
Casventures;
Cat, The;
Cathedral;
Cat-Man;
Catmeows;
Caubet, Josep Coletas;
Cauldwell, Jonathan;
Cavern;
CBI;
CBM;
CCP;
CCS;
CCS - Your Sinclair;
CDS;
CDS Microsystems;
CDT;
CDT Productions;
Cecomsa;
Cedilnik, Tomaz;
Celerysoft;
Celina;
Celtic;
Celyn Jones;
Centaurisoft;
Central Solutions;
Centre Divulgador de la Informatica;
Centro Studi Editoriale;
Century;
Century City;
Century Communications;
Ceran;
Chabek, Jiri;
Chad;
Chadfield, S.;
Chadwick, Chris;
Chafer, Robert;
Chainik Hackers Group;
Chalksoft;
Challenge;
Chalmers, Jon;
Chambers, D.;
Chameleon Computer Games;
Chameleon Computers;
Champ and Jason, The;
Channel 8;
Chantler, L.;
Chaos Constructions;
Chaosmongers;
Chaotic Soft;
Chapman and Beckingham;
Charles Letts & Co;
Charles, D.;
Charlish, A.E.;
Charlton Tutorials;
Charly Computers;
Charly Records;
Cheep Games;
Cheese Freak;
Cheetah Marketing;
CheetahSoft;
Chemist Soft;
ChemneSoft;
Cheprasov, B.;
Cheprasov, V.;
Cher, Oleg N.;
Cherencov, A.;
Chernyh, Viktoria;
Cheshire Micro Design;
Cheung, K.T.;
Chewsoft;
Chezron;
Chiaverano, Mariano E.M.;
Chibur;
Childrens Infatuated Computers;
Childsplay;
CHIP;
Chip - Rocky;
Chip - Rokki;
Chip & Rokky;
Chip 'n Dale;
Chip Shop, The;
Chipmunk;
Chips;
Chip-Special;
Chircov, Igor;
Choice;
chop983;
Choy, T.C.;
Chris;
Chromasoft;
Chuan-Tze Teo;
Chubarov, M.S.;
Chuck Benton;
Chudinov, Evgeny;
Church Army Resource Centre;
Church of the Latter Day Speccy;
CHURROSOFT;
