TOSEC path;WoS FTP path;Original TOSEC game name;ZXDB-based TOSEC game name;ZXDB ID;ZXDB release ID;WoS URL
tosec\Educational\[TAP]\Body Works - Respiration (1985)(Genesis Productions).zip;/pub/sinclair/games/b/BodyWorks.tap.zip;Body Works - Respiration (1985)(Genesis Productions);Body Works (1985)(Genesis Productions);0009045;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009045
tosec\Applications\[TAP]\Elements, Compounds, Mixtures and Separations (1982)(Calpac Eductional Software).zip;/pub/sinclair/games/c/ChemistrySeriesOLevelVol1.tap.zip;Elements, Compounds, Mixtures and Separations (1982)(Calpac Eductional Software);Chemistry Series O Level Vol 1 (1982)(Calpac Computer Software);0009051;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009051
tosec\Educational\[TZX]\Chemistry Series O Level Vol 1 (1982)(Calpac Educational Software)(Side A).zip;/pub/sinclair/games/c/ChemistrySeriesOLevelVol1.tzx.zip;Chemistry Series O Level Vol 1 (1982)(Calpac Educational Software);Chemistry Series O Level Vol 1 (1982)(Calpac Computer Software);0009051;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009051
tosec\Educational\[TZX]\Chemistry Series O Level Vol 1 (1982)(Calpac Educational Software)(Side B).zip;/pub/sinclair/games/c/ChemistrySeriesOLevelVol1.tzx.zip;Chemistry Series O Level Vol 1 (1982)(Calpac Educational Software);Chemistry Series O Level Vol 1 (1982)(Calpac Computer Software);0009051;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009051
tosec\Applications\[TZX]\Clever Clogs - Party-Time (1983)(Computer Tutor).zip;/pub/sinclair/games/c/CleverClogs-PartyTime.tzx.zip;Clever Clogs - Party-Time (1983)(Computer Tutor);Clever Clogs - Party Time (1983)(Computer Tutor);0009053;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009053
tosec\Applications\[TAP]\Clever Clogs - Party-Time (1983)(Computer Tutor).zip;/pub/sinclair/games/c/CleverClogs-PartyTime.tap.zip;Clever Clogs - Party-Time (1983)(Computer Tutor);Clever Clogs - Party Time (1983)(Computer Tutor);0009053;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009053
tosec\Applications\[TAP]\Computer Studies - Files (1984)(Longman Software).zip;/pub/sinclair/games/c/ComputerStudies-O-LevelRevisionAndCSE.tap.zip;Computer Studies - Files (1984)(Longman Software);Computer Studies - O-Level Revision and CSE (1984)(Longman Software);0009057;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009057
tosec\Applications\[TAP]\Computer Studies - Logic (1984)(Longman Software).zip;/pub/sinclair/games/c/ComputerStudies-O-LevelRevisionAndCSE.tap.zip;Computer Studies - Logic (1984)(Longman Software);Computer Studies - O-Level Revision and CSE (1984)(Longman Software);0009057;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009057
tosec\Applications\[TAP]\Computer Studies - Putin (1984)(Longman Software).zip;/pub/sinclair/games/c/ComputerStudies-O-LevelRevisionAndCSE.tap.zip;Computer Studies - Putin (1984)(Longman Software);Computer Studies - O-Level Revision and CSE (1984)(Longman Software);0009057;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009057
tosec\Applications\[TAP]\Computer Studies - Text (1984)(Longman Software).zip;/pub/sinclair/games/c/ComputerStudies-O-LevelRevisionAndCSE.tap.zip;Computer Studies - Text (1984)(Longman Software);Computer Studies - O-Level Revision and CSE (1984)(Longman Software);0009057;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009057
tosec\Applications\[TAP]\Computer Studies - Visicode (1984)(Longman Software).zip;/pub/sinclair/games/c/ComputerStudies-O-LevelRevisionAndCSE.tap.zip;Computer Studies - Visicode (1984)(Longman Software);Computer Studies - O-Level Revision and CSE (1984)(Longman Software);0009057;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009057
tosec\Applications\[TZX]\Computer Studies (1984)(Longman Software)(Side A).zip;/pub/sinclair/games/c/ComputerStudies-O-LevelRevisionAndCSE.tzx.zip;Computer Studies (1984)(Longman Software);Computer Studies - O-Level Revision and CSE (1984)(Longman Software);0009057;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009057
tosec\Applications\[TZX]\Computer Studies (1984)(Longman Software)(Side B).zip;/pub/sinclair/games/c/ComputerStudies-O-LevelRevisionAndCSE.tzx.zip;Computer Studies (1984)(Longman Software);Computer Studies - O-Level Revision and CSE (1984)(Longman Software);0009057;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009057
tosec\Applications\[TAP]\Counting - Count 100 (1983)(Widgit Software)[16K].zip;/pub/sinclair/games/c/Count100.tap.zip;Counting - Count 100 (1983)(Widgit Software);Count 100 (1983)(Widgit Software);0009059;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0009059
tosec\Applications\[TZX]\Ciudades Del Mundo (1983)(Microbyte)(es)(Side A)[aka Countries of the World].zip;/pub/sinclair/games/c/CountriesOfTheWorld(CiudadesDelMundo)(Microbyte1).tzx.zip;Ciudades Del Mundo (1983)(Microbyte);Countries of the World (1982)(Microbyte);0009062;1;http://www.worldofspectrum.org/infoseekid.cgi?id=0009062
tosec\Applications\[TZX]\Ciudades Del Mundo (1983)(Microbyte)(es)(Side B)[aka Countries of the World].zip;/pub/sinclair/games/c/CountriesOfTheWorld(CiudadesDelMundo)(Microbyte1).tzx.zip;Ciudades Del Mundo (1983)(Microbyte);Countries of the World (1982)(Microbyte);0009062;1;http://www.worldofspectrum.org/infoseekid.cgi?id=0009062
